Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2025-11-20 20:30:00+00:00,266.3800048828125,290.05999755859375,478.2900085449219,180.94000244140625,267.5799865722656,292.3900146484375,479.42999267578125,182.99000549316406,265.9200134277344,289.1700134277344,476.05999755859375,179.85000610351562,267.32000732421875,292.05999755859375,478.989990234375,182.38499450683594,3489586,2108176,2405605,18988723
2025-11-21 14:30:00+00:00,269.8500061035156,296.760009765625,473.31500244140625,175.7899932861328,270.45001220703125,301.9200134277344,478.9200134277344,182.3000030517578,265.82000732421875,295.56280517578125,469.3599853515625,175.47999572753906,265.8800048828125,297.2900085449219,478.3900146484375,181.23500061035156,10658658,9999227,7564442,67502729
2025-11-21 15:30:00+00:00,270.8999938964844,300.3299865722656,471.0450134277344,178.86000061035156,271.4700012207031,301.8299865722656,474.0450134277344,178.94000244140625,269.2200012207031,294.3599853515625,468.2699890136719,172.94000244140625,269.7900085449219,296.739990234375,473.2799987792969,175.80999755859375,4761138,4010585,2770253,46262440
2025-11-21 16:30:00+00:00,270.54998779296875,296.489990234375,474.260009765625,181.07000732421875,271.1199951171875,300.375,475.7699890136719,181.41000366210938,269.80999755859375,295.6600036621094,469.92999267578125,178.8000030517578,270.8900146484375,300.3399963378906,471.0639953613281,178.85470581054688,2949033,2730646,1872762,29829294
2025-11-21 17:30:00+00:00,270.9800109863281,297.2900085449219,472.82000732421875,179.33470153808594,271.6000061035156,298.17999267578125,475.43499755859375,181.9550018310547,270.20001220703125,295.8299865722656,471.0,178.61000061035156,270.6300048828125,296.5849914550781,474.3800048828125,181.0800018310547,2023820,1393147,1260590,19462417
2025-11-21 18:30:00+00:00,272.6099853515625,302.66009521484375,476.57000732421875,184.19000244140625,273.31500244140625,303.9599914550781,476.8999938964844,184.55999755859375,270.864990234375,297.06500244140625,472.6499938964844,179.1300048828125,270.9800109863281,297.260009765625,472.82000732421875,179.32000732421875,3562846,3613249,1386177,30711523
2025-11-21 19:30:00+00:00,271.3699951171875,299.94500732421875,473.3900146484375,180.38999938964844,273.2799987792969,302.9200134277344,476.82000732421875,184.4550018310547,271.3500061035156,299.94500732421875,473.385009765625,180.35000610351562,272.57501220703125,302.6499938964844,476.6099853515625,184.19349670410156,3135966,2460119,1441643,22276052
2025-11-21 20:30:00+00:00,271.489990234375,299.6600036621094,472.2200012207031,178.94000244140625,272.1300048828125,301.44000244140625,474.19000244140625,180.91000366210938,270.5899963378906,298.80999755859375,470.7074890136719,178.5,271.3500061035156,299.92999267578125,473.3900146484375,180.3699951171875,18794685,3148283,2090107,17142253
2025-11-24 14:30:00+00:00,273.0950012207031,316.8794860839844,472.4200134277344,178.0,275.9200134277344,318.54998779296875,476.17999267578125,180.8699951171875,270.8999938964844,309.40008544921875,468.0199890136719,176.47999572753906,270.8999938964844,310.7850036621094,475.0,179.5,7995693,10624903,5626447,43370401
2025-11-24 15:30:00+00:00,275.0,314.4800109863281,475.3299865722656,182.08999633789062,275.38958740234375,317.75,475.7200012207031,182.32000732421875,272.6499938964844,314.1499938964844,472.0,177.67999267578125,273.0799865722656,316.8699951171875,472.4599914550781,178.00860595703125,3612728,4421439,1866844,24840299
2025-11-24 16:30:00+00:00,274.8500061035156,315.1199951171875,475.80999755859375,182.47000122070312,275.2699890136719,315.17498779296875,476.8999938964844,183.1300048828125,274.44000244140625,311.8900146484375,474.6300048828125,181.61000061035156,274.9700012207031,314.5,475.375,182.05999755859375,2583089,2993905,2328420,17332798
2025-11-24 17:30:00+00:00,276.1199951171875,317.3699951171875,475.32000732421875,182.10000610351562,276.510009765625,318.1499938964844,476.3800048828125,183.3699951171875,274.75,314.8800048828125,474.8900146484375,181.8350067138672,274.8500061035156,315.1000061035156,475.8450927734375,182.46499633789062,3404232,2592523,1129854,12407053
2025-11-24 18:30:00+00:00,276.2195129394531,317.3411865234375,474.1199951171875,181.8699951171875,276.45001220703125,318.3799133300781,475.3999938964844,182.55999755859375,275.8500061035156,315.5400085449219,473.8699951171875,181.27999877929688,276.1199951171875,317.3500061035156,475.2799987792969,182.09500122070312,2440121,2330838,1120119,12475956
2025-11-24 19:30:00+00:00,276.4750061035156,318.0400085449219,474.29998779296875,181.6699981689453,276.6549987792969,319.0,475.04998779296875,182.47999572753906,275.3550109863281,316.69000244140625,473.8299865722656,181.08399963378906,276.2300109863281,317.40301513671875,474.1440124511719,181.87620544433594,2989562,2438476,1240769,13511330
2025-11-24 20:30:00+00:00,275.9800109863281,318.3699951171875,473.989990234375,182.5500030517578,276.9800109863281,319.79998779296875,476.510009765625,183.47999572753906,275.1099853515625,317.79998779296875,473.54998779296875,181.2100067138672,276.4700012207031,318.0400085449219,474.2799987792969,181.6699981689453,4904039,3159470,2385942,65119838
